match_date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,goal_diff,total_goals,home_result,is_competitive,home_points,away_points,match_id,source,source_match_id,source_competition_id,source_competition_name,source_generated_at_utc
1996-01-14,Honduras,Brazil,0,5,Gold Cup,Los Angeles,United States,True,-5.0,5.0,away,True,0.0,3.0,1996-01-14::Honduras::Brazil,historical_csv,,,,
1996-01-14,Ivory Coast,Ghana,0,2,African Cup of Nations,Port Elizabeth,South Africa,True,-2.0,2.0,away,True,0.0,3.0,1996-01-14::Ivory Coast::Ghana,historical_csv,,,,
1996-01-14,Jamaica,Cuba,1,1,Friendly,Kingston,Jamaica,False,0.0,2.0,draw,False,1.0,1.0,1996-01-14::Jamaica::Cuba,historical_csv,,,,
1996-01-14,Zambia,Algeria,0,0,African Cup of Nations,Bloemfontein,South Africa,True,0.0,0.0,draw,True,1.0,1.0,1996-01-14::Zambia::Algeria,historical_csv,,,,
1996-01-15,Egypt,Angola,2,1,African Cup of Nations,Johannesburg,South Africa,True,1.0,3.0,home,True,3.0,0.0,1996-01-15::Egypt::Angola,historical_csv,,,,
1996-01-15,Sierra Leone,Burkina Faso,2,1,African Cup of Nations,Bloemfontein,South Africa,True,1.0,3.0,home,True,3.0,0.0,1996-01-15::Sierra Leone::Burkina Faso,historical_csv,,,,
1996-01-16,Gabon,Liberia,1,2,African Cup of Nations,Durban,South Africa,True,-1.0,3.0,away,True,0.0,3.0,1996-01-16::Gabon::Liberia,historical_csv,,,,
1996-01-16,Guatemala,Saint Vincent and the Grenadines,3,0,Gold Cup,Anaheim,United States,True,3.0,3.0,home,True,3.0,0.0,1996-01-16::Guatemala::Saint Vincent and the Grenadines,historical_csv,,,,
1996-01-16,Lebanon,Cyprus,1,0,Friendly,Beirut,Lebanon,False,1.0,1.0,home,False,3.0,0.0,1996-01-16::Lebanon::Cyprus,historical_csv,,,,
1996-01-16,Tunisia,Mozambique,1,1,African Cup of Nations,Port Elizabeth,South Africa,True,0.0,2.0,draw,True,1.0,1.0,1996-01-16::Tunisia::Mozambique,historical_csv,,,,
