team,elo_rating,last_match_date,matches_played
Kyrgyzstan,1497.675897116891,2026-06-09,113
Tamil Eelam,1495.3564464287294,2025-07-01,18
Iceland,1491.5657555627329,2026-06-10,187
Kuwait,1489.7550241205,2026-06-05,197
Martinique,1488.300575488355,2026-03-29,95
Papua New Guinea,1487.5586560390595,2025-11-23,53
Finland,1485.6779330071274,2026-06-05,173
Sierra Leone,1485.5166047144824,2026-06-09,90
French Guiana,1485.1150095806595,2024-11-19,85
Madagascar,1484.5718192931133,2026-06-02,121
Kenya,1483.5673622442403,2026-06-04,164
United Koreans in Japan,1481.559707308157,2018-06-09,10
Togo,1479.8563788329761,2026-06-09,127
Orkney,1477.2553809724332,2025-07-17,15
Sudan,1473.880777143232,2026-01-03,154
Saare County,1472.266095397959,2017-06-29,11
Zimbabwe,1470.7654732692354,2026-05-30,146
Saint Barthélemy,1469.2007925602516,2023-03-10,10
South Ossetia,1468.2071384382996,2019-06-09,11
Gozo,1467.8248250911772,2025-07-17,10
Vanuatu,1462.9447263483587,2026-06-06,62
Comoros,1462.6600231514478,2026-06-09,122
Fiji,1457.040037549362,2026-06-06,81
Sealand,1456.7001890076097,2014-08-09,9
Equatorial Guinea,1454.0904442948897,2026-06-09,121
Sápmi,1452.9389750147373,2019-06-08,13
Cuba,1451.454133966792,2026-03-29,124
Székely Land,1447.1244799054866,2019-06-08,20
Liberia,1446.5566288101581,2026-06-09,97
Åland Islands,1445.9263917315998,2023-07-13,16
Turkmenistan,1443.8197575621373,2025-11-18,76
Philippines,1440.9755437580193,2026-06-09,171
Malawi,1439.059272519547,2026-06-09,173
Puerto Rico,1438.6105652699382,2026-06-05,82
Belarus,1437.7625373392627,2026-06-09,164
Rwanda,1437.34200358311,2026-03-30,135
Hitra,1436.2876210942609,2025-07-17,15
Mauritania,1435.6343470564493,2026-06-08,124
Bulgaria,1434.9427150833753,2026-06-05,146
Gotland,1433.2835906709206,2017-06-29,12
Tanzania,1428.2408152077762,2026-03-29,178
Namibia,1421.3665886914011,2026-03-28,134
Western Isles,1414.4859751702506,2025-07-17,20
Hong Kong,1412.1719296414065,2026-06-09,140
Saint Martin,1411.7930156951193,2026-03-29,45
Chagos Islands,1409.8108282917638,2019-12-29,12
Yemen,1406.6038542119952,2025-11-26,123
Kazakhstan,1406.116231768401,2026-06-09,144
Lesotho,1403.4535509429786,2026-06-04,136
Saint Vincent and the Grenadines,1396.1162715874173,2026-03-29,88
Ethiopia,1395.6327499401739,2026-06-09,137
Botswana,1394.5096884997608,2026-03-31,163
Solomon Islands,1388.2989971990612,2026-03-30,86
Sint Maarten,1387.015305452233,2026-03-30,37
Burundi,1383.3534771922536,2026-05-26,108
Singapore,1382.6950789145899,2026-06-05,174
Montenegro,1381.5764546476555,2026-06-05,144
Barawa,1379.5199385694548,2018-06-09,8
Guinea-Bissau,1376.4534460337393,2026-03-31,94
Bermuda,1364.3301094661313,2026-06-06,81
Tibet,1362.4173408587071,2025-07-01,8
Congo,1351.3670382420569,2025-10-14,100
Belize,1348.4085309384423,2026-03-30,84
Central African Republic,1347.4483848364525,2026-06-09,87
Samoa,1342.3642360427757,2024-11-18,33
Grenada,1341.500188757721,2026-05-16,103
Saint Kitts and Nevis,1333.439890004325,2026-03-30,99
Raetia,1333.334744967782,2022-08-07,15
Eswatini,1329.1951118184402,2025-10-13,118
Luxembourg,1328.485136681817,2026-06-06,153
Montserrat,1326.02827739477,2025-06-10,46
Armenia,1318.2424563062314,2026-06-09,146
Aruba,1316.6723979823487,2026-06-07,67
Faroe Islands,1313.7791594067712,2026-06-09,131
India,1300.277746520459,2026-06-09,158
Afghanistan,1299.2963645854131,2026-06-10,100
Tuvalu,1298.6027428060902,2023-11-30,24
Azerbaijan,1298.4377470190773,2026-06-09,157
Cook Islands,1297.4617977247833,2024-09-06,19
Falkland Islands,1296.461837784385,2023-07-13,20
Estonia,1295.643802163178,2026-06-09,197
Eritrea,1291.8006072615462,2019-09-10,13
South Sudan,1282.9796626646596,2025-11-25,78
Saint Lucia,1281.7124054570702,2026-03-27,78
Pakistan,1268.5742369416303,2026-06-10,62
Dominica,1267.4923776779438,2026-03-30,72
Frøya,1261.920870138933,2025-07-17,14
Mauritius,1251.9928364498085,2025-10-13,98
Chad,1250.2152819588007,2025-11-17,63
